matchId,teamId,total_shots,total_goals,total_xG,avg_XG
1694390,4418,14,1,2.0216411041550395,0.14440293601107426
1694390,11944,8,0,1.0062892189991675,0.12578615237489593
1694391,6697,14,1,0.9996417225307684,0.07140298018076917
1694391,8731,7,0,0.6128068799132053,0.08754383998760075
1694392,6697,14,0,1.7586589989730763,0.1256184999266483
1694392,11944,12,0,0.8222064056532988,0.06851720047110824
1694393,4418,19,2,2.330611244460548,0.1226637497084499
1694393,8731,5,0,0.3010009777161902,0.06020019554323804
1694394,4418,12,2,0.7551098269439863,0.06292581891199886
1694394,6697,5,0,0.10320055781361817,0.020640111562723634
1694395,8731,12,0,1.0529296995076842,0.08774414162564036
1694395,11944,13,0,0.3200925844133518,0.024622506493334754
1694396,10682,7,1,1.463906273522385,0.20912946764605497
1694396,14496,11,1,0.7353045844674492,0.06684587131522265
1694397,2413,11,0,1.1588094818551118,0.1053463165322829
1694397,14358,6,0,0.9443388502969097,0.15738980838281827
1694398,14358,13,0,1.535766768158625,0.11813590524297114
1694398,14496,9,0,0.5916089583047188,0.06573432870052431
1694399,2413,18,0,4.530867625054411,0.25171486805857834
1694399,10682,6,0,0.6387529865150039,0.10645883108583398
1694400,2413,24,0,1.9371904103235202,0.08071626709681334
1694400,14496,2,0,0.05101621963855667,0.025508109819278334
1694401,10682,19,3,2.648555377757076,0.13939765146089872
1694401,14358,11,0,1.2252335667617542,0.11138486970561402
1694402,10962,1,0,0.01710932013745131,0.01710932013745131
1694402,13869,17,0,0.8401816656950519,0.04942245092323835
1694403,3148,18,0,1.2569828205291365,0.06983237891828536
1694403,14622,5,2,0.7647610971184033,0.15295221942368067
1694404,10962,12,0,2.3612071689711147,0.19676726408092624
1694404,14622,15,0,1.1756971087304955,0.0783798072486997
1694405,3148,14,0,1.3174471559339052,0.09410336828099322
1694405,13869,5,0,1.2694122974012219,0.25388245948024435
1694406,13869,9,0,1.0043904520230806,0.11159893911367563
1694406,14622,19,0,2.3019159640341846,0.12115347179127288
1694407,3148,26,0,3.8936756581104133,0.14975675608116973
1694407,10962,2,1,0.5682578910790148,0.2841289455395074
1694408,4687,7,0,0.5109408172213304,0.07299154531733291
1694408,9598,16,0,2.6878173810720654,0.16798858631700408
1694409,1598,15,0,3.3443255467229074,0.22295503644819384
1694409,11555,4,0,0.388263085663657,0.09706577141591426
1694410,9598,16,2,1.4074977944792384,0.0879686121549524
1694410,11555,5,0,0.5450334035032839,0.10900668070065678
1694411,1598,17,1,4.046326600172197,0.23801921177483512
1694411,4687,7,0,0.26674779189550013,0.03810682741364287
1694412,1598,13,0,2.4302307847253237,0.18694082959425568
1694412,9598,12,2,0.9432230725750193,0.07860192271458494
1694413,4687,8,2,1.4264942327353092,0.17831177909191365
1694413,11555,13,1,1.3853468793232362,0.10656514456332586
1694414,7047,4,0,0.3774910211382434,0.09437275528456085
1694414,8274,8,0,0.5816849305560959,0.07271061631951199
1694415,3757,11,2,1.678530487893795,0.15259368071761772
1694415,5629,18,1,1.1994833027676244,0.06663796126486803
1694416,3757,7,0,0.3853799581148448,0.055054279730692116
1694416,7047,3,0,0.05051973788809268,0.016839912629364226
1694417,5629,17,2,2.141399823535176,0.12596469550206918
1694417,8274,9,1,0.8326775556400065,0.09251972840444517
1694418,3757,5,0,0.20727873274324227,0.041455746548648455
1694418,8274,12,0,1.6124045957647248,0.1343670496470604
1694419,5629,20,0,1.695848976936239,0.08479244884681195
1694419,7047,9,0,1.0737767225628123,0.11930852472920137
1694420,9109,12,0,0.5710664176949638,0.047588868141246986
1694420,10451,15,4,1.0883129974296877,0.07255419982864585
1694421,7839,4,2,0.756486003893487,0.18912150097337174
1694421,9905,20,1,2.9415979539458803,0.14707989769729402
1694422,7839,6,1,0.6834396360643731,0.11390660601072884
1694422,10451,10,0,0.45992697524573506,0.04599269752457351
1694423,9109,3,0,0.4136627987213621,0.13788759957378735
1694423,9905,20,0,2.202670019205876,0.1101335009602938
1694424,9905,14,0,2.4696113207892063,0.17640080862780044
1694424,10451,7,0,0.39265329295772167,0.05609332756538881
1694425,7839,10,1,0.7459172423525668,0.07459172423525669
1694425,9109,20,0,1.7818318662512238,0.0890915933125612
1694426,6697,21,0,1.6077830780764797,0.07656109895602284
1694426,13869,18,1,1.4501885394445144,0.0805660299691397
1694427,10682,5,0,0.3689068685907945,0.0737813737181589
1694427,10962,5,1,0.27797809826379916,0.05559561965275983
1694428,9598,14,0,2.772505707101219,0.19803612193580136
1694428,9905,4,2,1.0739850236963153,0.26849625592407883
1694429,4418,21,1,3.8180137081843832,0.18181017658020873
1694429,8274,5,0,0.45170609470666445,0.09034121894133289
1694430,3148,16,0,1.6118632796328163,0.10074145497705102
1694430,14496,4,1,0.4812370108705579,0.12030925271763948
1694431,5629,25,5,4.076971457927556,0.16307885831710223
1694431,10451,15,0,1.1089308229997643,0.07392872153331762
1694432,1598,13,0,1.5069110561262788,0.11591623508663683
1694432,3757,10,2,2.1259465171391083,0.21259465171391084
1694433,2413,16,1,1.6688622516882876,0.10430389073051798
1694433,7839,8,1,1.1731310318270314,0.14664137897837892
1694434,9905,18,1,1.1701627997251487,0.06500904442917493
1694434,13869,13,4,0.9781614982014998,0.07524319216934613
1694435,5629,13,0,1.3662514627263405,0.10509626636356464
1694435,10682,15,1,2.9456510994773217,0.19637673996515478
1694436,3148,13,2,1.2253227047296607,0.09425559267151236
1694436,3757,11,0,0.5439159963017002,0.049446908754700016
1694437,4418,15,1,1.220199397375675,0.08134662649171168
1694437,7839,12,0,3.737962697205978,0.31149689143383147
1694438,9905,15,0,1.6551987753599242,0.11034658502399494
1694438,10682,8,0,1.444731288544727,0.18059141106809087
1694439,3148,15,1,1.359805298512832,0.09065368656752212
1694439,4418,11,1,0.611597880350824,0.05559980730462036
